PassengerId,Survived,Pclass,Sex,SexEncoded,AgeFilled,AgeBand,SibSp,Parch,FamilySize,FamilyGroup,IsAlone,FareFilled,FareLog,FarePerPerson,FareBand,EmbarkedFilled,Title,CabinDeck,HasCabin,TicketPrefix,SexPclass,AgePclass,NameLength,WomenChildPriority,AgeMissing,FareMissing,CabinMissing
15,0,3,female,1,14.0,Teen,0,0,1,Solo,1,7.8542,2.180891922715322,7.8542,Q1,S,Miss,U,0,NONE,female_P3,42.0,36,1,0,0,1
16,1,2,female,1,55.0,Senior,0,0,1,Solo,1,16.0,2.833213344056216,16.0,Q3,S,Mrs,U,0,NONE,female_P2,110.0,32,1,0,0,1
17,0,3,male,0,2.0,Child,4,1,6,Medium,0,29.125,3.405355391810819,4.854166666666667,Q3,Q,Master,U,0,NONE,male_P3,6.0,20,1,0,0,1
18,1,2,male,0,31.0,Young,0,0,1,Solo,1,13.0,2.6390573296152584,13.0,Q2,S,Mr,U,0,NONE,male_P2,62.0,28,0,1,0,1
19,0,3,female,1,31.0,Young,1,0,2,Small,0,18.0,2.9444389791664403,9.0,Q3,S,Mrs,U,0,NONE,female_P3,93.0,55,1,0,0,1
20,1,3,female,1,31.0,Young,0,0,1,Solo,1,7.225,2.1071782966514356,7.225,Q1,C,Mrs,U,0,NONE,female_P3,93.0,23,1,1,0,1
21,0,2,male,0,35.0,Young,0,0,1,Solo,1,26.0,3.295836866004329,26.0,Q3,S,Mr,U,0,NONE,male_P2,70.0,20,0,0,0,1
22,1,2,male,0,34.0,Young,0,0,1,Solo,1,13.0,2.6390573296152584,13.0,Q2,S,Mr,D,1,NONE,male_P2,68.0,21,0,0,0,0
23,1,3,female,1,15.0,Teen,0,0,1,Solo,1,8.0292,2.2004637699272855,8.0292,Q2,Q,Miss,U,0,NONE,female_P3,45.0,27,1,0,0,1
24,1,1,male,0,28.0,Young,0,0,1,Solo,1,35.5,3.597312260588446,35.5,Q4,S,Mr,A,1,NONE,male_P1,28.0,28,0,0,0,0
25,0,3,female,1,8.0,Child,3,1,5,Medium,0,21.075,3.0944457464900235,4.215,Q3,S,Miss,U,0,NONE,female_P3,24.0,29,1,0,0,1
26,1,3,female,1,38.0,Middle,1,5,7,Large,0,31.3875,3.4777725458882283,4.483928571428572,Q4,S,Mrs,U,0,NONE,female_P3,114.0,57,1,0,0,1
27,0,3,male,0,26.0,Young,0,0,1,Solo,1,7.225,2.1071782966514356,7.225,Q1,C,Mr,U,0,NONE,male_P3,78.0,23,0,1,0,1
28,0,1,male,0,19.0,Young,3,2,6,Medium,0,263.0,5.575949103146316,43.833333333333336,Q4,S,Mr,C,1,NONE,male_P1,19.0,30,0,0,0,0
29,1,3,female,1,18.0,Teen,0,0,1,Solo,1,7.8792,2.1837114628556327,7.8792,Q1,Q,Miss,U,0,NONE,female_P3,54.0,29,1,1,0,1
30,0,3,male,0,26.0,Young,0,0,1,Solo,1,7.8958,2.1855792552411137,7.8958,Q1,S,Mr,U,0,NONE,male_P3,78.0,19,0,1,0,1
31,0,1,male,0,40.0,Middle,0,0,1,Solo,1,27.7208,3.357621598945279,27.7208,Q3,C,Rare,U,0,PC,male_P1,40.0,24,0,0,0,1
32,1,1,female,1,40.0,Middle,1,0,2,Small,0,146.5208,4.993969182787072,73.2604,Q4,C,Mrs,B,1,PC,female_P1,40.0,46,1,1,0,0
33,1,3,female,1,18.0,Teen,0,0,1,Solo,1,7.75,2.169053700369523,7.75,Q1,Q,Miss,U,0,NONE,female_P3,54.0,24,1,1,0,1
34,0,2,male,0,66.0,Elder,0,0,1,Solo,1,10.5,2.4423470353692043,10.5,Q2,S,Mr,U,0,CA,male_P2,132.0,21,0,0,0,1
35,0,1,male,0,28.0,Young,1,0,2,Small,0,82.1708,4.420896324687287,41.0854,Q4,C,Mr,U,0,PC,male_P1,28.0,23,0,0,0,1
36,0,1,male,0,42.0,Middle,1,0,2,Small,0,52.0,3.970291913552122,26.0,Q4,S,Mr,U,0,NONE,male_P1,42.0,30,0,0,0,1
37,1,3,male,0,26.0,Young,0,0,1,Solo,1,7.2292,2.1076888046179385,7.2292,Q1,C,Mr,U,0,NONE,male_P3,78.0,16,0,1,0,1
38,0,3,male,0,21.0,Young,0,0,1,Solo,1,8.05,2.2027647577118348,8.05,Q2,S,Mr,U,0,A,male_P3,63.0,24,0,0,0,1
39,0,3,female,1,18.0,Teen,2,0,3,Small,0,18.0,2.9444389791664403,6.0,Q3,S,Miss,U,0,NONE,female_P3,54.0,34,1,0,0,1
40,1,3,female,1,14.0,Teen,1,0,2,Small,0,11.2417,2.5048481563289,5.62085,Q2,C,Miss,U,0,NONE,female_P3,42.0,27,1,0,0,1
41,0,3,female,1,40.0,Middle,1,0,2,Small,0,9.475,2.348991465808201,4.7375,Q2,S,Mrs,U,0,NONE,female_P3,120.0,46,1,0,0,1
42,0,2,female,1,27.0,Young,1,0,2,Small,0,21.0,3.091042453358316,10.5,Q3,S,Mrs,U,0,NONE,female_P2,54.0,56,1,0,0,1
43,0,3,male,0,26.0,Young,0,0,1,Solo,1,7.8958,2.1855792552411137,7.8958,Q1,C,Mr,U,0,NONE,male_P3,78.0,19,0,1,0,1
44,1,2,female,1,3.0,Child,1,2,4,Small,0,41.5792,3.7513658711253766,10.3948,Q4,C,Miss,U,0,SCPARIS,female_P2,6.0,40,1,0,0,1
45,1,3,female,1,19.0,Young,0,0,1,Solo,1,7.8792,2.1837114628556327,7.8792,Q1,Q,Miss,U,0,NONE,female_P3,57.0,29,1,0,0,1
46,0,3,male,0,26.0,Young,0,0,1,Solo,1,8.05,2.2027647577118348,8.05,Q2,S,Mr,U,0,OTHER,male_P3,78.0,24,0,1,0,1
47,0,3,male,0,26.0,Young,1,0,2,Small,0,15.5,2.803360380906535,7.75,Q3,Q,Mr,U,0,NONE,male_P3,78.0,17,0,1,0,1
48,1,3,female,1,18.0,Teen,0,0,1,Solo,1,7.75,2.169053700369523,7.75,Q1,Q,Miss,U,0,NONE,female_P3,54.0,25,1,1,0,1
49,0,3,male,0,26.0,Young,2,0,3,Small,0,21.6792,3.1214482048688246,7.226400000000001,Q3,C,Mr,U,0,NONE,male_P3,78.0,19,0,1,0,1
50,0,3,female,1,18.0,Teen,1,0,2,Small,0,17.8,2.9338568698359038,8.9,Q3,S,Mrs,U,0,NONE,female_P3,54.0,45,1,0,0,1
51,0,3,male,0,7.0,Child,4,1,6,Medium,0,39.6875,3.705920919968788,6.614583333333333,Q4,S,Master,U,0,NONE,male_P3,21.0,26,1,0,0,1
52,0,3,male,0,21.0,Young,0,0,1,Solo,1,7.8,2.174751721484161,7.8,Q1,S,Mr,U,0,A,male_P3,63.0,28,0,0,0,1
53,1,1,female,1,49.0,Middle,1,0,2,Small,0,76.7292,4.353230991152628,38.3646,Q4,C,Mrs,D,1,PC,female_P1,49.0,40,1,0,0,0
54,1,2,female,1,29.0,Young,1,0,2,Small,0,26.0,3.295836866004329,13.0,Q3,S,Mrs,U,0,NONE,female_P2,58.0,50,1,0,0,1
55,0,1,male,0,65.0,Senior,0,1,2,Small,0,61.9792,4.142804513146981,30.9896,Q4,C,Mr,B,1,NONE,male_P1,65.0,30,0,0,0,0
56,1,1,male,0,40.0,Middle,0,0,1,Solo,1,35.5,3.597312260588446,35.5,Q4,S,Mr,C,1,NONE,male_P1,40.0,17,0,1,0,0
57,1,2,female,1,21.0,Young,0,0,1,Solo,1,10.5,2.4423470353692043,10.5,Q2,S,Miss,U,0,CA,female_P2,42.0,17,1,0,0,1
58,0,3,male,0,28.5,Young,0,0,1,Solo,1,7.2292,2.1076888046179385,7.2292,Q1,C,Mr,U,0,NONE,male_P3,85.5,19,0,0,0,1
59,1,2,female,1,5.0,Child,1,2,4,Small,0,27.75,3.3586377672433594,6.9375,Q3,S,Miss,U,0,CA,female_P2,10.0,28,1,0,0,1
60,0,3,male,0,11.0,Child,5,2,8,Large,0,46.9,3.8691155044168695,5.8625,Q4,S,Master,U,0,CA,male_P3,33.0,34,1,0,0,1
61,0,3,male,0,22.0,Young,0,0,1,Solo,1,7.2292,2.1076888046179385,7.2292,Q1,C,Mr,U,0,NONE,male_P3,66.0,21,0,0,0,1
62,1,1,female,1,38.0,Middle,0,0,1,Solo,1,80.0,4.394449154672439,80.0,Q4,S,Miss,B,1,NONE,female_P1,38.0,19,1,0,0,0
63,0,1,male,0,45.0,Middle,1,0,2,Small,0,83.475,4.436455632600354,41.7375,Q4,S,Mr,C,1,NONE,male_P1,45.0,27,0,0,0,0
64,0,3,male,0,4.0,Child,3,2,6,Medium,0,27.9,3.3638415951183864,4.6499999999999995,Q3,S,Master,U,0,NONE,male_P3,12.0,21,1,0,0,1
65,0,1,male,0,40.0,Middle,0,0,1,Solo,1,27.7208,3.357621598945279,27.7208,Q3,C,Mr,U,0,PC,male_P1,40.0,21,0,1,0,1
66,1,3,male,0,4.0,Child,1,1,3,Small,0,15.2458,2.7878344138303452,5.081933333333333,Q3,C,Master,U,0,NONE,male_P3,12.0,24,1,1,0,1
67,1,2,female,1,29.0,Young,0,0,1,Solo,1,10.5,2.4423470353692043,10.5,Q2,S,Mrs,F,1,CA,female_P2,58.0,28,1,0,0,0
68,0,3,male,0,19.0,Young,0,0,1,Solo,1,8.1583,2.2146605719425225,8.1583,Q2,S,Mr,U,0,OTHER,male_P3,57.0,24,0,0,0,1
69,1,3,female,1,17.0,Teen,4,2,7,Large,0,7.925,2.188856327665703,1.1321428571428571,Q2,S,Miss,U,0,NONE,female_P3,51.0,31,1,0,0,1
70,0,3,male,0,26.0,Young,2,0,3,Small,0,8.6625,2.2682524139135403,2.8874999999999997,Q2,S,Mr,U,0,NONE,male_P3,78.0,17,0,0,0,1
71,0,2,male,0,32.0,Young,0,0,1,Solo,1,10.5,2.4423470353692043,10.5,Q2,S,Mr,U,0,CA,male_P2,64.0,26,0,0,0,1
72,0,3,female,1,16.0,Teen,5,2,8,Large,0,46.9,3.8691155044168695,5.8625,Q4,S,Miss,U,0,CA,female_P3,48.0,26,1,0,0,1
73,0,2,male,0,21.0,Young,0,0,1,Solo,1,73.5,4.310799125385514,73.5,Q4,S,Mr,U,0,OTHER,male_P2,42.0,20,0,0,0,1
74,0,3,male,0,26.0,Young,1,0,2,Small,0,14.4542,2.737880811060884,7.2271,Q2,C,Mr,U,0,NONE,male_P3,78.0,27,0,0,0,1
75,1,3,male,0,32.0,Young,0,0,1,Solo,1,56.4958,4.05171190165724,56.4958,Q4,S,Mr,U,0,NONE,male_P3,96.0,13,0,0,0,1
76,0,3,male,0,25.0,Young,0,0,1,Solo,1,7.65,2.157559320943788,7.65,Q1,S,Mr,F,1,NONE,male_P3,75.0,23,0,0,0,0
77,0,3,male,0,26.0,Young,0,0,1,Solo,1,7.8958,2.1855792552411137,7.8958,Q1,S,Mr,U,0,NONE,male_P3,78.0,17,0,1,0,1
78,0,3,male,0,26.0,Young,0,0,1,Solo,1,8.05,2.2027647577118348,8.05,Q2,S,Mr,U,0,NONE,male_P3,78.0,24,0,1,0,1
79,1,2,male,0,0.83,Child,0,2,3,Small,0,29.0,3.4011973816621555,9.666666666666666,Q3,S,Master,U,0,NONE,male_P2,1.66,29,1,0,0,1
80,1,3,female,1,30.0,Young,0,0,1,Solo,1,12.475,2.600836116795061,12.475,Q2,S,Miss,U,0,NONE,female_P3,90.0,24,1,0,0,1
81,0,3,male,0,22.0,Young,0,0,1,Solo,1,9.0,2.302585092994046,9.0,Q2,S,Mr,U,0,NONE,male_P3,66.0,20,0,0,0,1
82,1,3,male,0,29.0,Young,0,0,1,Solo,1,9.5,2.3513752571634776,9.5,Q2,S,Mr,U,0,NONE,male_P3,87.0,27,0,0,0,1
83,1,3,female,1,18.0,Teen,0,0,1,Solo,1,7.7875,2.1733302571367834,7.7875,Q1,Q,Miss,U,0,NONE,female_P3,54.0,30,1,1,0,1
84,0,1,male,0,28.0,Young,0,0,1,Solo,1,47.1,3.8732821771117156,47.1,Q4,S,Mr,U,0,NONE,male_P1,28.0,23,0,0,0,1
85,1,2,female,1,17.0,Teen,0,0,1,Solo,1,10.5,2.4423470353692043,10.5,Q2,S,Miss,U,0,OTHER,female_P2,34.0,19,1,0,0,1
86,1,3,female,1,33.0,Young,3,0,4,Small,0,15.85,2.8243506567983707,3.9625,Q3,S,Mrs,U,0,NONE,female_P3,99.0,55,1,0,0,1
87,0,3,male,0,16.0,Teen,1,3,5,Medium,0,34.375,3.5660053559634015,6.875,Q4,S,Mr,U,0,WC,male_P3,48.0,22,0,0,0,1
88,0,3,male,0,26.0,Young,0,0,1,Solo,1,8.05,2.2027647577118348,8.05,Q2,S,Mr,U,0,SOTONOQ,male_P3,78.0,29,0,1,0,1
89,1,1,female,1,23.0,Young,3,2,6,Medium,0,263.0,5.575949103146316,43.833333333333336,Q4,S,Miss,C,1,NONE,female_P1,23.0,26,1,0,0,0
90,0,3,male,0,24.0,Young,0,0,1,Solo,1,8.05,2.2027647577118348,8.05,Q2,S,Mr,U,0,NONE,male_P3,72.0,22,0,0,0,1
91,0,3,male,0,29.0,Young,0,0,1,Solo,1,8.05,2.2027647577118348,8.05,Q2,S,Mr,U,0,NONE,male_P3,87.0,20,0,0,0,1
92,0,3,male,0,20.0,Young,0,0,1,Solo,1,7.8542,2.180891922715322,7.8542,Q1,S,Mr,U,0,NONE,male_P3,60.0,26,0,0,0,1
93,0,1,male,0,46.0,Middle,1,0,2,Small,0,61.175,4.1299529896894684,30.5875,Q4,S,Mr,E,1,OTHER,male_P1,46.0,27,0,0,0,0
94,0,3,male,0,26.0,Young,1,2,4,Small,0,20.575,3.0715352369694915,5.14375,Q3,S,Mr,U,0,CA,male_P3,78.0,23,0,0,0,1
95,0,3,male,0,59.0,Senior,0,0,1,Solo,1,7.25,2.1102132003465894,7.25,Q1,S,Mr,U,0,NONE,male_P3,177.0,17,0,0,0,1
96,0,3,male,0,26.0,Young,0,0,1,Solo,1,8.05,2.2027647577118348,8.05,Q2,S,Mr,U,0,NONE,male_P3,78.0,27,0,1,0,1
97,0,1,male,0,71.0,Elder,0,0,1,Solo,1,34.6542,3.57386695198272,34.6542,Q4,C,Mr,A,1,PC,male_P1,71.0,25,0,0,0,0
98,1,1,male,0,23.0,Young,0,1,2,Small,0,63.3583,4.164465907853638,31.67915,Q4,C,Mr,D,1,PC,male_P1,23.0,31,0,0,0,0
99,1,2,female,1,34.0,Young,0,1,2,Small,0,23.0,3.1780538303479458,11.5,Q3,S,Mrs,U,0,NONE,female_P2,68.0,36,1,0,0,1
100,0,2,male,0,34.0,Young,1,0,2,Small,0,26.0,3.295836866004329,13.0,Q3,S,Mr,U,0,NONE,male_P2,68.0,17,0,0,0,1
101,0,3,female,1,28.0,Young,0,0,1,Solo,1,7.8958,2.1855792552411137,7.8958,Q1,S,Miss,U,0,NONE,female_P3,84.0,23,1,0,0,1
102,0,3,male,0,26.0,Young,0,0,1,Solo,1,7.8958,2.1855792552411137,7.8958,Q1,S,Mr,U,0,NONE,male_P3,78.0,32,0,1,0,1
103,0,1,male,0,21.0,Young,0,1,2,Small,0,77.2875,4.360387947851531,38.64375,Q4,S,Mr,D,1,NONE,male_P1,21.0,25,0,0,0,0
104,0,3,male,0,33.0,Young,0,0,1,Solo,1,8.6542,2.267393053825037,8.6542,Q2,S,Mr,U,0,NONE,male_P3,99.0,26,0,0,0,1
105,0,3,male,0,37.0,Middle,2,0,3,Small,0,7.925,2.188856327665703,2.6416666666666666,Q2,S,Mr,U,0,NONE,male_P3,111.0,30,0,0,0,1
106,0,3,male,0,28.0,Young,0,0,1,Solo,1,7.8958,2.1855792552411137,7.8958,Q1,S,Mr,U,0,NONE,male_P3,84.0,21,0,0,0,1
107,1,3,female,1,21.0,Young,0,0,1,Solo,1,7.65,2.157559320943788,7.65,Q1,S,Miss,U,0,NONE,female_P3,63.0,32,1,0,0,1
108,1,3,male,0,26.0,Young,0,0,1,Solo,1,7.775,2.1719067693519296,7.775,Q1,S,Mr,U,0,NONE,male_P3,78.0,22,0,1,0,1
109,0,3,male,0,38.0,Middle,0,0,1,Solo,1,7.8958,2.1855792552411137,7.8958,Q1,S,Mr,U,0,NONE,male_P3,114.0,15,0,0,0,1
110,1,3,female,1,18.0,Teen,1,0,2,Small,0,24.15,3.224857896545748,12.075,Q3,Q,Miss,U,0,NONE,female_P3,54.0,19,1,1,0,1
111,0,1,male,0,47.0,Middle,0,0,1,Solo,1,52.0,3.970291913552122,52.0,Q4,S,Mr,C,1,NONE,male_P1,47.0,30,0,0,0,0
112,0,3,female,1,14.5,Teen,1,0,2,Small,0,14.4542,2.737880811060884,7.2271,Q2,C,Miss,U,0,NONE,female_P3,43.5,20,1,0,0,1
113,0,3,male,0,22.0,Young,0,0,1,Solo,1,8.05,2.2027647577118348,8.05,Q2,S,Mr,U,0,NONE,male_P3,66.0,22,0,0,0,1
114,0,3,female,1,20.0,Young,1,0,2,Small,0,9.825,2.3818582738885534,4.9125,Q2,S,Miss,U,0,NONE,female_P3,60.0,23,1,0,0,1
115,0,3,female,1,17.0,Teen,0,0,1,Solo,1,14.4583,2.738146075922933,14.4583,Q3,C,Miss,U,0,NONE,female_P3,51.0,21,1,0,0,1
116,0,3,male,0,21.0,Young,0,0,1,Solo,1,7.925,2.188856327665703,7.925,Q2,S,Mr,U,0,STONO,male_P3,63.0,21,0,0,0,1
117,0,3,male,0,70.5,Elder,0,0,1,Solo,1,7.75,2.169053700369523,7.75,Q1,Q,Mr,U,0,NONE,male_P3,211.5,20,0,0,0,1
118,0,2,male,0,29.0,Young,1,0,2,Small,0,21.0,3.091042453358316,10.5,Q3,S,Mr,U,0,NONE,male_P2,58.0,31,0,0,0,1
119,0,1,male,0,24.0,Young,0,1,2,Small,0,247.5208,5.515526544247129,123.7604,Q4,C,Mr,B,1,PC,male_P1,24.0,24,0,0,0,0
120,0,3,female,1,2.0,Child,4,2,7,Large,0,31.275,3.4742929367327062,4.4678571428571425,Q4,S,Miss,U,0,NONE,female_P3,6.0,33,1,0,0,1
121,0,2,male,0,21.0,Young,2,0,3,Small,0,73.5,4.310799125385514,24.5,Q4,S,Mr,U,0,OTHER,male_P2,42.0,27,0,0,0,1
122,0,3,male,0,26.0,Young,0,0,1,Solo,1,8.05,2.2027647577118348,8.05,Q2,S,Mr,U,0,A,male_P3,78.0,26,0,1,0,1
123,0,2,male,0,32.5,Young,1,0,2,Small,0,30.0708,3.436268471383741,15.0354,Q3,C,Mr,U,0,NONE,male_P2,65.0,20,0,0,0,1
124,1,2,female,1,32.5,Young,0,0,1,Solo,1,13.0,2.6390573296152584,13.0,Q2,S,Miss,E,1,NONE,female_P2,65.0,19,1,0,0,0
125,0,1,male,0,54.0,Senior,0,1,2,Small,0,77.2875,4.360387947851531,38.64375,Q4,S,Mr,D,1,NONE,male_P1,54.0,27,0,0,0,0
126,1,3,male,0,12.0,Child,1,0,2,Small,0,11.2417,2.5048481563289,5.62085,Q2,C,Master,U,0,NONE,male_P3,36.0,28,1,0,0,1
127,0,3,male,0,26.0,Young,0,0,1,Solo,1,7.75,2.169053700369523,7.75,Q1,Q,Mr,U,0,NONE,male_P3,78.0,19,0,1,0,1
128,1,3,male,0,24.0,Young,0,0,1,Solo,1,7.1417,2.0969990034181696,7.1417,Q1,S,Mr,U,0,OTHER,male_P3,72.0,25,0,0,0,1
129,1,3,female,1,18.0,Teen,1,1,3,Small,0,22.3583,3.1509523813392697,7.452766666666666,Q3,C,Miss,F,1,NONE,female_P3,54.0,17,1,1,0,0
130,0,3,male,0,45.0,Middle,0,0,1,Solo,1,6.975,2.076311648670908,6.975,Q1,S,Mr,U,0,NONE,male_P3,135.0,18,0,0,0,1
131,0,3,male,0,33.0,Young,0,0,1,Solo,1,7.8958,2.1855792552411137,7.8958,Q1,C,Mr,U,0,NONE,male_P3,99.0,20,0,0,0,1
132,0,3,male,0,20.0,Young,0,0,1,Solo,1,7.05,2.085672091430472,7.05,Q1,S,Mr,U,0,SOTONOQ,male_P3,60.0,30,0,0,0,1
133,0,3,female,1,47.0,Middle,1,0,2,Small,0,14.5,2.740840023925201,7.25,Q3,S,Mrs,U,0,A,female_P3,141.0,46,1,0,0,1
134,1,2,female,1,29.0,Young,1,0,2,Small,0,26.0,3.295836866004329,13.0,Q3,S,Mrs,U,0,NONE,female_P2,58.0,45,1,0,0,1
135,0,2,male,0,25.0,Young,0,0,1,Solo,1,13.0,2.6390573296152584,13.0,Q2,S,Mr,U,0,CA,male_P2,50.0,30,0,0,0,1
136,0,2,male,0,23.0,Young,0,0,1,Solo,1,15.0458,2.775447133088262,15.0458,Q3,C,Mr,U,0,SCPARIS,male_P2,46.0,18,0,0,0,1
137,1,1,female,1,19.0,Young,0,2,3,Small,0,26.2833,3.3062747934011893,8.7611,Q3,S,Miss,D,1,NONE,female_P1,19.0,28,1,0,0,0
138,0,1,male,0,37.0,Middle,1,0,2,Small,0,53.1,3.9908341858524357,26.55,Q4,S,Mr,C,1,NONE,male_P1,37.0,27,0,0,0,0
139,0,3,male,0,16.0,Teen,0,0,1,Solo,1,9.2167,2.3240236363515288,9.2167,Q2,S,Mr,U,0,NONE,male_P3,48.0,19,0,0,0,1
140,0,1,male,0,24.0,Young,0,0,1,Solo,1,79.2,4.384523514872469,79.2,Q4,C,Mr,B,1,PC,male_P1,24.0,18,0,0,0,0
141,0,3,female,1,31.0,Young,0,2,3,Small,0,15.2458,2.7878344138303452,5.081933333333333,Q3,C,Mrs,U,0,NONE,female_P3,93.0,29,1,1,0,1
142,1,3,female,1,22.0,Young,0,0,1,Solo,1,7.75,2.169053700369523,7.75,Q1,S,Miss,U,0,NONE,female_P3,66.0,24,1,0,0,1
143,1,3,female,1,24.0,Young,1,0,2,Small,0,15.85,2.8243506567983707,7.925,Q3,S,Mrs,U,0,STONO,female_P3,72.0,52,1,0,0,1
144,0,3,male,0,19.0,Young,0,0,1,Solo,1,6.75,2.0476928433652555,6.75,Q1,Q,Mr,U,0,NONE,male_P3,57.0,19,0,0,0,1
145,0,2,male,0,18.0,Teen,0,0,1,Solo,1,11.5,2.5257286443082556,11.5,Q2,S,Mr,U,0,NONE,male_P2,36.0,26,0,0,0,1
146,0,2,male,0,19.0,Young,1,1,3,Small,0,36.75,3.6309854756950335,12.25,Q4,S,Mr,U,0,CA,male_P2,38.0,28,0,0,0,1
147,1,3,male,0,27.0,Young,0,0,1,Solo,1,7.7958,2.174274334826008,7.7958,Q1,S,Mr,U,0,NONE,male_P3,81.0,44,0,0,0,1
148,0,3,female,1,9.0,Child,2,2,5,Medium,0,34.375,3.5660053559634015,6.875,Q4,S,Miss,U,0,WC,female_P3,27.0,32,1,0,0,1
149,0,2,male,0,36.5,Middle,0,2,3,Small,0,26.0,3.295836866004329,8.666666666666666,Q3,S,Mr,F,1,NONE,male_P2,73.0,40,0,0,0,0
150,0,2,male,0,42.0,Middle,0,0,1,Solo,1,13.0,2.6390573296152584,13.0,Q2,S,Rare,U,0,NONE,male_P2,84.0,33,0,0,0,1
151,0,2,male,0,51.0,Senior,0,0,1,Solo,1,12.525,2.6045398247325453,12.525,Q2,S,Rare,U,0,OTHER,male_P2,102.0,26,0,0,0,1
152,1,1,female,1,22.0,Young,1,0,2,Small,0,66.6,4.213607983048918,33.3,Q4,S,Mrs,C,1,NONE,female_P1,22.0,33,1,0,0,0
153,0,3,male,0,55.5,Senior,0,0,1,Solo,1,8.05,2.2027647577118348,8.05,Q2,S,Mr,U,0,A,male_P3,166.5,16,0,0,0,1
154,0,3,male,0,40.5,Middle,0,2,3,Small,0,14.5,2.740840023925201,4.833333333333333,Q3,S,Mr,U,0,A,male_P3,121.5,31,0,0,0,1
155,0,3,male,0,26.0,Young,0,0,1,Solo,1,7.3125,2.1177604059819726,7.3125,Q1,S,Mr,U,0,OTHER,male_P3,78.0,21,0,1,0,1
156,0,1,male,0,51.0,Senior,0,1,2,Small,0,61.3792,4.133231886474144,30.6896,Q4,C,Mr,U,0,PC,male_P1,51.0,27,0,0,0,1
157,1,3,female,1,16.0,Teen,0,0,1,Solo,1,7.7333,2.167143305297764,7.7333,Q1,Q,Miss,U,0,NONE,female_P3,48.0,32,1,0,0,1
158,0,3,male,0,30.0,Young,0,0,1,Solo,1,8.05,2.2027647577118348,8.05,Q2,S,Mr,U,0,SOTONOQ,male_P3,90.0,15,0,0,0,1
159,0,3,male,0,26.0,Young,0,0,1,Solo,1,8.6625,2.2682524139135403,8.6625,Q2,S,Mr,U,0,NONE,male_P3,78.0,19,0,1,0,1
160,0,3,male,0,4.0,Child,8,2,11,Large,0,69.55,4.256321678298823,6.322727272727272,Q4,S,Master,U,0,CA,male_P3,12.0,26,1,1,0,1
161,0,3,male,0,44.0,Middle,0,1,2,Small,0,16.1,2.8390784635086144,8.05,Q3,S,Mr,U,0,NONE,male_P3,132.0,24,0,0,0,1
162,1,2,female,1,40.0,Middle,0,0,1,Solo,1,15.75,2.8183982582710754,15.75,Q3,S,Mrs,U,0,CA,female_P2,80.0,50,1,0,0,1
