PassengerId,Survived,FareFilled,SexEncoded,FareLog,FarePerPerson,HasCabin,AgePclass,NameLength,WomenChildPriority,CabinMissing,Pclass_1,Pclass_3,Sex_female,Sex_male,Title_Miss,Title_Mr,Title_Mrs,CabinDeck_U,SexPclass_female_P1,SexPclass_female_P2,SexPclass_male_P3
26,1,-0.016444159470040135,1.0,3.4777725458882283,4.483928571428572,0.0,114.0,57.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
27,0,-0.5029485386158568,0.0,2.1071782966514356,7.225,0.0,78.0,23.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
28,0,4.647001076532463,0.0,5.575949103146316,43.833333333333336,1.0,19.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,1,-0.48977642625839407,1.0,2.1837114628556327,7.8792,0.0,54.0,29.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
30,0,-0.4894421904510968,0.0,2.1855792552411137,7.8958,0.0,78.0,19.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
31,0,-0.09027201697708476,0.0,3.357621598945279,27.7208,0.0,40.0,24.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,1,2.301728820789,1.0,4.993969182787072,73.2604,1.0,40.0,46.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
33,1,-0.49237782784290063,1.0,2.169053700369523,7.75,0.0,54.0,24.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34,0,-0.43700743807979686,0.0,2.4423470353692043,10.5,0.0,132.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
35,0,1.0060617003323709,0.0,4.420896324687287,41.0854,0.0,28.0,23.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
36,0,0.39858208016340624,0.0,3.970291913552122,26.0,0.0,42.0,30.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
37,1,-0.5028639729296732,0.0,2.1076888046179385,7.2292,0.0,78.0,16.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
38,0,-0.4863374216869257,0.0,2.2027647577118348,8.05,0.0,63.0,24.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
39,0,-0.2859972841804228,1.0,2.9444389791664403,6.0,0.0,54.0,34.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
40,1,-0.42207354059350805,1.0,2.5048481563289,5.62085,0.0,42.0,27.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
41,0,-0.4576454924460446,1.0,2.348991465808201,4.7375,0.0,120.0,46.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
42,0,-0.22559322262067316,1.0,3.091042453358316,10.5,0.0,54.0,56.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
43,0,-0.4894421904510968,0.0,2.1855792552411137,7.8958,0.0,78.0,19.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
44,1,0.18876253192945994,1.0,3.7513658711253766,10.3948,0.0,6.0,40.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
45,1,-0.48977642625839407,1.0,2.1837114628556327,7.8792,0.0,57.0,29.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
46,0,-0.4863374216869257,0.0,2.2027647577118348,8.05,0.0,78.0,24.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
47,0,-0.3363340021468808,0.0,2.803360380906535,7.75,0.0,78.0,17.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
48,1,-0.49237782784290063,1.0,2.169053700369523,7.75,0.0,54.0,25.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
49,0,-0.21191774308354583,0.0,3.1214482048688246,7.226400000000001,0.0,78.0,19.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
50,0,-0.29002422161773944,1.0,2.9338568698359038,8.9,0.0,54.0,45.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
51,0,0.1506737441786005,0.0,3.705920919968788,6.614583333333333,0.0,21.0,26.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
52,0,-0.4913710934835715,0.0,2.174751721484161,7.8,0.0,63.0,28.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
53,1,0.8964967865378598,1.0,4.353230991152628,38.3646,1.0,49.0,40.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
54,1,-0.12491978668775715,1.0,3.295836866004329,13.0,0.0,58.0,50.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
55,0,0.5995101505357573,0.0,4.142804513146981,30.9896,1.0,65.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,1,0.06635974158478332,0.0,3.597312260588446,35.5,1.0,40.0,17.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,1,-0.43700743807979686,1.0,2.4423470353692043,10.5,0.0,42.0,17.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
58,0,-0.5028639729296732,0.0,2.1076888046179385,7.2292,0.0,85.5,19.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
59,1,-0.08968408411123653,1.0,3.3586377672433594,6.9375,0.0,10.0,28.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
60,0,0.2958951755118318,0.0,3.8691155044168695,5.8625,0.0,33.0,34.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
61,0,-0.5028639729296732,0.0,2.1076888046179385,7.2292,0.0,66.0,21.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
62,1,0.962353321387736,1.0,4.394449154672439,80.0,1.0,38.0,19.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
63,0,1.0323213593611125,0.0,4.436455632600354,41.7375,1.0,45.0,27.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,0,-0.08666388103324908,0.0,3.3638415951183864,4.6499999999999995,0.0,12.0,21.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
65,0,-0.09027201697708476,0.0,3.357621598945279,27.7208,0.0,40.0,21.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
66,1,-0.3414522396297103,0.0,2.7878344138303452,5.081933333333333,0.0,12.0,24.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
67,1,-0.43700743807979686,1.0,2.4423470353692043,10.5,1.0,58.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
68,0,-0.4841568350646187,0.0,2.2146605719425225,8.1583,0.0,57.0,24.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
69,1,-0.4888542575852486,1.0,2.188856327665703,1.1321428571428571,0.0,51.0,31.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
70,0,-0.47400492578514347,0.0,2.2682524139135403,2.8874999999999997,0.0,78.0,17.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
71,0,-0.43700743807979686,0.0,2.4423470353692043,10.5,0.0,64.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
72,0,0.2958951755118318,1.0,3.8691155044168695,5.8625,0.0,48.0,26.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
73,0,0.8314778546749452,0.0,4.310799125385514,73.5,0.0,42.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
74,0,-0.3573908580066095,0.0,2.737880811060884,7.2271,0.0,78.0,27.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
75,1,0.48910360681684706,0.0,4.05171190165724,56.4958,0.0,96.0,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
76,0,-0.494391296561559,0.0,2.157559320943788,7.65,1.0,75.0,23.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
77,0,-0.4894421904510968,0.0,2.1855792552411137,7.8958,0.0,78.0,17.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
78,0,-0.4863374216869257,0.0,2.2027647577118348,8.05,0.0,78.0,24.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
79,1,-0.06451572512800753,0.0,3.4011973816621555,9.666666666666666,0.0,1.66,29.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
80,1,-0.397241430886295,1.0,2.600836116795061,12.475,0.0,90.0,24.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
81,0,-0.46720946885967163,0.0,2.302585092994046,9.0,0.0,66.0,20.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
82,1,-0.45714212526638004,0.0,2.3513752571634776,9.5,0.0,87.0,27.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
83,1,-0.49162277707340374,1.0,2.1733302571367834,7.7875,0.0,54.0,30.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
84,0,0.29992211294914856,0.0,3.8732821771117156,47.1,0.0,28.0,23.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
85,1,-0.43700743807979686,1.0,2.4423470353692043,10.5,0.0,34.0,19.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
86,1,-0.32928686163157667,1.0,2.8243506567983707,3.9625,0.0,99.0,55.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
87,0,0.04370821849987721,0.0,3.5660053559634015,6.875,0.0,48.0,22.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
88,0,-0.4863374216869257,0.0,2.2027647577118348,8.05,0.0,78.0,29.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
89,1,4.647001076532463,1.0,5.575949103146316,43.833333333333336,1.0,23.0,26.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
90,0,-0.4863374216869257,0.0,2.2027647577118348,8.05,0.0,72.0,22.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
91,0,-0.4863374216869257,0.0,2.2027647577118348,8.05,0.0,87.0,20.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
92,0,-0.4902797934380587,0.0,2.180891922715322,7.8542,0.0,60.0,26.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
93,0,0.5833178351003071,0.0,4.1299529896894684,30.5875,1.0,46.0,27.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
94,0,-0.23415046467497105,0.0,3.0715352369694915,5.14375,0.0,78.0,23.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
95,0,-0.5024451714361923,0.0,2.1102132003465894,7.25,0.0,177.0,17.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
96,0,-0.4863374216869257,0.0,2.2027647577118348,8.05,0.0,78.0,27.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
97,0,0.0493298231623713,0.0,3.57386695198272,34.6542,1.0,71.0,25.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
98,1,0.6272778976347743,0.0,4.164465907853638,31.67915,1.0,23.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
99,1,-0.18532384824750675,1.0,3.1780538303479458,11.5,0.0,68.0,36.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
100,0,-0.12491978668775715,0.0,3.295836866004329,13.0,0.0,68.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
101,0,-0.4894421904510968,1.0,2.1855792552411137,7.8958,0.0,84.0,23.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
102,0,-0.4894421904510968,0.0,2.1855792552411137,7.8958,0.0,78.0,32.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
103,0,0.907737982394129,0.0,4.360387947851531,38.64375,1.0,21.0,25.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
104,0,-0.4741720436887921,0.0,2.267393053825037,8.6542,0.0,99.0,26.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
105,0,-0.4888542575852486,0.0,2.188856327665703,2.6416666666666666,0.0,111.0,30.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
106,0,-0.4894421904510968,0.0,2.1855792552411137,7.8958,0.0,84.0,21.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
107,1,-0.494391296561559,1.0,2.157559320943788,7.65,0.0,63.0,32.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
108,1,-0.4918744606632361,0.0,2.1719067693519296,7.775,0.0,78.0,22.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
109,0,-0.4894421904510968,0.0,2.1855792552411137,7.8958,0.0,114.0,15.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
110,1,-0.1621689579829361,1.0,3.224857896545748,12.075,0.0,54.0,19.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
111,0,0.39858208016340624,0.0,3.970291913552122,52.0,1.0,47.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
112,0,-0.3573908580066095,1.0,2.737880811060884,7.2271,0.0,43.5,20.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
113,0,-0.4863374216869257,0.0,2.2027647577118348,8.05,0.0,66.0,22.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
114,0,-0.4505983519307405,1.0,2.3818582738885534,4.9125,0.0,60.0,23.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
115,0,-0.3573083057891445,1.0,2.738146075922933,14.4583,0.0,51.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
116,0,-0.4888542575852486,0.0,2.188856327665703,7.925,0.0,63.0,21.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
117,0,-0.49237782784290063,0.0,2.169053700369523,7.75,0.0,211.5,20.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
118,0,-0.22559322262067316,0.0,3.091042453358316,10.5,0.0,58.0,31.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
119,0,4.335332226633905,0.0,5.515526544247129,123.7604,1.0,24.0,24.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
120,0,-0.01870931177853076,1.0,3.4742929367327062,4.4678571428571425,0.0,6.0,33.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
121,0,0.8314778546749452,0.0,4.310799125385514,24.5,0.0,42.0,27.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
122,0,-0.4863374216869257,0.0,2.2027647577118348,8.05,0.0,78.0,26.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
123,0,-0.04295550208861426,0.0,3.436268471383741,15.0354,0.0,65.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
124,1,-0.3866707201133388,1.0,2.6390573296152584,13.0,1.0,65.0,19.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
125,0,0.907737982394129,0.0,4.360387947851531,38.64375,1.0,54.0,27.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
126,1,-0.42207354059350805,0.0,2.5048481563289,5.62085,0.0,36.0,28.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
127,0,-0.49237782784290063,0.0,2.169053700369523,7.75,0.0,78.0,19.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
128,1,-0.5046257580584992,0.0,2.0969990034181696,7.1417,0.0,72.0,25.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
129,1,-0.19824427701513722,1.0,3.1509523813392697,7.452766666666666,1.0,54.0,17.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0,-0.5079822104125026,0.0,2.076311648670908,6.975,0.0,135.0,18.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
131,0,-0.4894421904510968,0.0,2.1855792552411137,7.8958,0.0,99.0,20.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
132,0,-0.5064721088735089,0.0,2.085672091430472,7.05,0.0,60.0,30.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
133,0,-0.35646868933346404,1.0,2.740840023925201,7.25,0.0,141.0,46.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
134,1,-0.12491978668775715,1.0,3.295836866004329,13.0,0.0,58.0,45.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
135,0,-0.3866707201133388,0.0,2.6390573296152584,13.0,0.0,50.0,30.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
136,0,-0.3454791770670269,0.0,2.775447133088262,15.0458,0.0,46.0,18.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
137,1,-0.11921562980779811,1.0,3.3062747934011893,8.7611,1.0,19.0,28.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
138,0,0.4207302360686478,0.0,3.9908341858524357,26.55,1.0,37.0,27.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
139,0,-0.4628462821463391,0.0,2.3240236363515288,9.2167,0.0,48.0,19.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
140,0,0.9462455716384695,0.0,4.384523514872469,79.2,1.0,24.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
141,0,-0.3414522396297103,1.0,2.7878344138303452,5.081933333333333,0.0,93.0,29.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
142,1,-0.49237782784290063,1.0,2.169053700369523,7.75,0.0,66.0,24.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
143,1,-0.32928686163157667,1.0,2.8243506567983707,7.925,0.0,72.0,52.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
